,portfolio_nav_gross
2022-12-29,177677915.03361365
2022-12-30,176947586.1845139
2023-01-03,176397187.25079638
2023-01-04,179464094.781234
2023-01-05,179302153.3645494
2023-01-06,183926782.06135124
2023-01-09,184391283.05455154
2023-01-10,189106294.61100984
2023-01-11,193174641.06961203
2023-01-12,196933176.52971366
2023-01-13,199048706.81333953
2023-01-17,199168428.18972716
2023-01-18,197407366.39055407
2023-01-19,193738971.13601747
2023-01-20,198481155.00340432
2023-01-23,202448071.70319286
2023-01-24,202285414.06781897
2023-01-25,203618689.18648162
2023-01-26,206009169.5740824
2023-01-27,207603587.32756567
2023-01-30,204387862.52948654
2023-01-31,209168598.35956874
2023-02-01,215339932.7330841
2023-02-02,219505282.71340224
2023-02-03,216996630.00504696
2023-02-06,214661622.0048889
2023-02-07,217685354.37216285
2023-02-08,215015362.33593756
2023-02-09,212332062.8577537
2023-02-10,210381117.6513425
2023-02-13,214616022.13068733
2023-02-14,217599171.88141856
2023-02-15,220670378.07932162
2023-02-16,218479567.79642808
2023-02-17,217983611.98095992
2023-02-21,209609673.94764423
2023-02-22,210512266.10449725
2023-02-23,210920640.98626402
2023-02-24,207745608.9881332
2023-02-27,208769240.42197165
2023-02-28,202290651.6856058
2023-03-01,201394974.28150836
2023-03-02,202271175.49838045
2023-03-03,206692409.110085
2023-03-06,204137346.6555602
2023-03-07,202402213.1306375
2023-03-08,202986053.36444503
2023-03-09,196414455.09216353
2023-03-10,190646895.55595025
2023-03-13,189111345.59514627
2023-03-14,191319960.277228
2023-03-15,189211833.7603163
2023-03-16,191130580.719005
2023-03-17,186799957.66206837
2023-03-20,187463339.82356787
2023-03-21,191265758.94683924
2023-03-22,186582855.39318427
2023-03-23,187257991.46230656
2023-03-24,187246990.72133335
2023-03-27,188849013.39052323
2023-03-28,188875144.01502463
2023-03-29,191685347.08422562
2023-03-30,193148271.17675045
2023-03-31,196805036.58573186
2023-04-03,196042270.49034435
2023-04-04,192248518.32925126
2023-04-05,189281315.84447047
2023-04-06,189581623.90712726
2023-04-10,193424007.4457431
2023-04-11,194770702.88734484
2023-04-12,194030680.72560966
2023-04-13,196018392.61912262
2023-04-14,195769520.54044288
2023-04-17,196155660.5529459
2023-04-18,196357774.5520536
2023-04-19,196890940.81065825
2023-04-20,196918545.89748663
2023-04-21,197592271.7079247
2023-04-24,197804802.62002516
2023-04-25,193705636.19368184
2023-04-26,192876612.56938222
2023-04-27,195436674.64599636
2023-04-28,196974392.95422176
2023-05-01,196830784.7165735
2023-05-02,193476430.7484537
2023-05-03,194541190.94949082
2023-05-04,192476498.27078536
2023-05-05,196150004.79745466
2023-05-08,195966416.84857574
2023-05-09,198513415.66430154
2023-05-10,199368397.9624968
2023-05-11,198921914.32900906
2023-05-12,197466036.94165742
2023-05-15,199629900.5792737
2023-05-16,196844301.86702022
2023-05-17,200649734.09610277
2023-05-18,201834160.13623133
2023-05-19,200150505.99701357
2023-05-22,202546690.93722448
2023-05-23,200027392.06039238
2023-05-24,197943407.7262883
2023-05-25,197961775.93841285
2023-05-26,200034506.50984278
2023-05-30,199422559.24213755
2023-05-31,197806207.29520932
2023-06-01,200412964.25040555
2023-06-02,206910532.83012414
2023-06-05,204337769.46430445
2023-06-06,210454405.35496423
2023-06-07,213904294.02012265
2023-06-08,215976988.02166983
2023-06-09,215823690.8311346
2023-06-12,218095651.1334594
2023-06-13,219962963.56085226
2023-06-14,219749497.69230944
2023-06-15,222179385.11397314
2023-06-16,221031872.97369865
2023-06-20,222982419.9315964
2023-06-21,224648749.04346016
2023-06-22,223829212.21186727
2023-06-23,221058090.6821724
2023-06-26,221115610.87351647
2023-06-27,226124309.47905532
2023-06-28,228008053.1889725
2023-06-29,230479760.37132615
2023-06-30,231063790.9282829
2023-07-03,231249523.31620115
2023-07-05,229813920.28987527
2023-07-06,227149100.02273563
2023-07-07,229771991.4592708
2023-07-10,233903681.4902662
2023-07-11,234917267.43494558
2023-07-12,237066410.81256777
2023-07-13,238220282.50579375
2023-07-14,236502706.07098714
2023-07-17,238772593.91380355
2023-07-18,239589131.5841019
2023-07-19,240055462.23907447
2023-07-20,236677031.54089725
2023-07-21,234518730.10629192
2023-07-24,234243927.6048914
2023-07-25,234079883.54990536
2023-07-26,234754692.08002707
2023-07-27,232537188.9146646
2023-07-28,236438128.17817783
2023-07-31,238694110.81370953
2023-08-01,240137485.30394498
2023-08-02,235282481.77757636
2023-08-03,235975904.46342185
2023-08-04,236367161.1839478
2023-08-07,237309342.23257086
2023-08-08,236033229.179386
2023-08-09,230432435.3451424
2023-08-10,234136819.59927195
2023-08-11,235709696.32937926
2023-08-14,236867709.0986922
2023-08-15,234110657.310408
2023-08-16,231432948.9554791
2023-08-17,228833383.0532825
2023-08-18,230020102.87498993
2023-08-21,229651437.474521
2023-08-22,230354748.51153535
2023-08-23,233570314.01680478
2023-08-24,229968506.34430158
2023-08-25,229126803.68776888
2023-08-28,230878411.01120195
2023-08-29,232928411.20678848
2023-08-30,233546374.92218307
2023-08-31,232546391.3952453
2023-09-01,233061588.35154098
2023-09-05,227444702.55425286
2023-09-06,225306043.2045704
2023-09-07,224345969.59240252
2023-09-08,223803759.21940523
2023-09-11,223694366.17272916
2023-09-12,222929351.38497636
2023-09-13,221383872.46420014
2023-09-14,223881763.4749218
2023-09-15,223098831.73436493
2023-09-18,221437924.94807526
2023-09-19,221046067.79114366
2023-09-20,219502598.20989504
2023-09-21,215973151.13171545
2023-09-22,215079776.51347384
2023-09-25,216429487.1903451
2023-09-26,213784572.17282352
2023-09-27,215809824.65509292
2023-09-28,217764349.62890315
2023-09-29,216644431.19873258
2023-10-02,215986987.39103377
2023-10-03,212148873.83888808
2023-10-04,212782282.7575551
2023-10-05,212270886.40454715
2023-10-06,213907117.75050834
2023-10-09,214653845.16834167
2023-10-10,215708891.55209288
2023-10-11,209786449.5889918
2023-10-12,206258807.55564237
2023-10-13,204959061.99567208
2023-10-16,206036689.7310324
2023-10-17,206369655.67852032
2023-10-18,204538965.04516533
2023-10-19,203277511.35843322
2023-10-20,202369631.86859548
2023-10-23,202070486.2037351
2023-10-24,202675503.63632938
2023-10-25,201208784.0574796
2023-10-26,201042132.82840937
2023-10-27,200750323.62493774
2023-10-30,201223541.5181287
2023-10-31,201663992.16511592
2023-11-01,202400698.7338117
2023-11-02,203526621.44267666
2023-11-03,204632617.0321012
2023-11-06,204411809.11840624
2023-11-07,204419373.64977852
2023-11-08,204301644.14805564
2023-11-09,203842272.97002378
2023-11-10,204842029.5845482
2023-11-13,204970388.32847795
2023-11-14,206808107.49535397
2023-11-15,206793932.38764766
2023-11-16,206451748.54040205
2023-11-17,206972897.53875726
2023-11-20,207396630.2065956
2023-11-21,207171064.12804195
2023-11-22,207426962.55575892
2023-11-24,207711566.93767104
2023-11-27,207815214.31517646
2023-11-28,207531271.43650895
2023-11-29,207798436.88248312
2023-11-30,208099888.10767585
2023-12-01,208898743.95087954
2023-12-04,208820676.5869285
2023-12-05,208438383.1806494
2023-12-06,208131855.47000292
2023-12-07,208615559.2067054
2023-12-08,209034461.10701782
2023-12-11,209500062.6724088
2023-12-12,209619439.03834054
2023-12-13,210891704.6938567
2023-12-14,211876597.8647943
2023-12-15,211711795.96181974
2023-12-18,211824271.65274888
2023-12-19,212659884.47222218
2023-12-20,211647386.00022945
2023-12-21,212467940.67714947
2023-12-22,212666844.9001213
2023-12-26,213135775.73634994
2023-12-27,213347977.74629518
2023-12-28,213175992.8427095
2023-12-29,212731640.21332633
2024-01-02,211670917.20633158
2024-01-03,210505343.9462376
2024-01-04,210496519.6217667
2024-01-05,210495430.76919317
